Date,SnP_Close,SnP_Volume,VIX,formatted_date,3MTbill,wti
1/1/2020,3230.78,2894760000,13.78,20200101,1.52,61.14
2/1/2020,3257.85,3459930000,12.47,20200102,1.51,61.17
3/1/2020,3234.85,3484700000,14.02,20200103,1.49,63
6/1/2020,3246.28,3702460000,13.85,20200106,1.53,63.27
7/1/2020,3237.18,3435910000,13.79,20200107,1.51,62.7
8/1/2020,3253.05,3726840000,13.45,20200108,1.51,59.65
9/1/2020,3274.7,3641230000,12.54,20200109,1.51,59.56
10/1/2020,3265.35,3214580000,12.56,20200110,1.51,59.02
13/1/2020,3288.13,3459390000,12.32,20200113,1.54,58.17
14/1/2020,3283.15,3687620000,12.39,20200114,1.54,58.34
15/1/2020,3289.29,3721490000,12.42,20200115,1.54,57.86
16/1/2020,3316.81,3540580000,12.32,20200116,1.52,58.52
17/1/2020,3329.62,3726220000,12.1,20200117,1.53,58.55
21/1/2020,3320.79,4104840000,12.85,20200121,1.53,58.25
22/1/2020,3321.75,3623780000,12.91,20200122,1.52,56.76
23/1/2020,3325.54,3766710000,12.98,20200123,1.52,55.51
24/1/2020,3295.47,3708780000,14.56,20200124,1.51,54.09
27/1/2020,3243.63,3831050000,18.23,20200127,1.52,53.09
28/1/2020,3276.24,3531570000,16.28,20200128,1.54,53.33
29/1/2020,3273.4,3600250000,16.39,20200129,1.53,53.29
30/1/2020,3283.66,3790350000,15.49,20200130,1.54,52.19
31/1/2020,3225.52,4529700000,18.84,20200131,1.52,51.58
2/3/2020,3248.92,3760460000,17.97,20200203,1.54,50.06
2/4/2020,3297.59,3996900000,16.05,20200204,1.54,49.59
2/5/2020,3334.69,4121480000,15.15,20200205,1.54,50.87
2/6/2020,3345.78,3887250000,14.96,20200206,1.54,50.94
2/7/2020,3327.71,3733920000,15.47,20200207,1.53,50.34
2/10/2020,3352.09,3462730000,15.04,20200210,1.55,49.59
2/11/2020,3357.75,3762940000,15.18,20200211,1.54,50
2/12/2020,3379.45,3930910000,13.74,20200212,1.55,51.13
13/2/2020,3373.94,3500890000,14.15,20200213,1.56,51.41
14/2/2020,3380.16,3419700000,13.68,20200214,1.55,52.03
18/2/2020,3370.29,3750400000,14.83,20200218,1.55,52.1
19/2/2020,3386.15,3614200000,14.38,20200219,1.55,53.31
20/2/2020,3373.23,4019180000,15.56,20200220,1.55,53.77
21/2/2020,3337.75,3908780000,17.08,20200221,1.53,53.36
24/2/2020,3225.89,4851160000,25.03,20200224,1.5,51.36
25/2/2020,3128.21,5596760000,27.85,20200225,1.5,49.78
26/2/2020,3116.39,5484650000,27.56,20200226,1.5,48.67
27/2/2020,2978.76,7064710000,39.16,20200227,1.42,47.17
28/2/2020,2954.22,8569570000,40.11,20200228,1.25,44.83
3/2/2020,3090.23,6381330000,33.42,20200302,1.1,46.78
3/3/2020,3003.37,6376510000,36.82,20200303,0.93,47.27
3/4/2020,3130.12,5073020000,31.99,20200304,0.71,46.78
3/5/2020,3023.94,5579290000,39.62,20200305,0.61,45.9
3/6/2020,2972.37,6555240000,41.94,20200306,0.45,41.14
3/9/2020,2746.56,8441290000,54.46,20200309,0.32,31.05
3/10/2020,2882.23,7642040000,47.3,20200310,0.43,34.47
3/11/2020,2741.38,7431200000,53.9,20200311,0.41,33.13
3/12/2020,2480.64,8850810000,75.47,20200312,0.33,31.56
13/3/2020,2711.02,8299070000,57.83,20200313,0.27,31.72
16/3/2020,2386.13,7805450000,82.69,20200316,0.24,28.96
17/3/2020,2529.19,8370250000,75.91,20200317,0.19,26.96
18/3/2020,2398.1,8799300000,76.45,20200318,0.02,20.48
19/3/2020,2409.39,7956100000,72,20200319,0.04,25.09
20/3/2020,2304.92,9053950000,66.04,20200320,0.05,19.48
23/3/2020,2237.4,7411380000,61.59,20200323,0.02,23.33
24/3/2020,2447.33,7563150000,61.67,20200324,0.01,21.03
25/3/2020,2475.56,8300010000,63.95,20200325,-0.04,20.75
26/3/2020,2630.07,7766990000,61,20200326,-0.05,16.6
27/3/2020,2541.47,6201670000,65.54,20200327,0.03,15.48
30/3/2020,2626.65,5751120000,57.08,20200330,0.12,14.1
31/3/2020,2584.59,6576210000,53.54,20200331,0.11,20.51
4/1/2020,2470.5,5964000000,57.06,20200401,0.09,20.28
4/2/2020,2526.9,6464190000,50.91,20200402,0.09,25.18
4/3/2020,2488.65,6096970000,46.8,20200403,0.1,28.36
4/6/2020,2663.68,6403840000,45.24,20200406,0.15,26.21
4/7/2020,2659.41,7050410000,46.7,20200407,0.14,23.54
4/8/2020,2749.98,5875710000,43.35,20200408,0.22,24.97
4/9/2020,2789.82,7899550000,41.67,20200409,0.25,22.9
13/4/2020,2761.63,5319530000,41.17,20200413,0.26,22.36
14/4/2020,2846.06,5615730000,37.76,20200414,0.2,20.15
15/4/2020,2783.36,5208000000,40.84,20200415,0.14,19.96
16/4/2020,2799.55,5228810000,40.11,20200416,0.14,19.82
17/4/2020,2874.56,5804810000,38.15,20200417,0.12,18.31
20/4/2020,2823.16,5228630000,43.83,20200420,0.12,-36.98
21/4/2020,2736.56,5121010000,45.41,20200421,0.11,8.91
22/4/2020,2799.31,5084920000,41.98,20200422,0.12,13.64
23/4/2020,2797.8,5773530000,41.38,20200423,0.11,15.06
24/4/2020,2836.74,5382810000,35.93,20200424,0.12,15.99
27/4/2020,2878.48,5203930000,33.29,20200427,0.12,12.17
28/4/2020,2863.39,5691160000,33.57,20200428,0.11,12.4
29/4/2020,2939.51,6645640000,31.23,20200429,0.1,15.04
30/4/2020,2912.43,6544980000,34.15,20200430,0.09,19.23
5/1/2020,2830.71,4759810000,37.19,20200501,0.12,19.72
5/4/2020,2842.74,4735930000,35.97,20200504,0.13,20.47
5/5/2020,2868.44,5140290000,33.61,20200505,0.13,24.56
5/6/2020,2848.42,4892570000,34.12,20200506,0.12,23.88
5/7/2020,2881.19,5178790000,31.44,20200507,0.11,23.68
5/8/2020,2929.8,4876030000,27.98,20200508,0.12,24.73
5/11/2020,2930.19,4819730000,27.57,20200511,0.12,24.02
5/12/2020,2870.12,5119630000,33.04,20200512,0.13,25.76
13/5/2020,2820,6151650000,35.28,20200513,0.13,25.37
14/5/2020,2852.5,5651130000,32.61,20200514,0.12,27.4
15/5/2020,2863.7,5507700000,31.89,20200515,0.12,29.44
18/5/2020,2953.91,6373670000,29.3,20200518,0.13,31.83
19/5/2020,2922.94,4984330000,30.53,20200519,0.13,32.3
20/5/2020,2971.61,5005380000,27.99,20200520,0.12,33.56
21/5/2020,2948.51,4976620000,29.53,20200521,0.12,34.3
22/5/2020,2955.45,3970860000,28.16,20200522,0.12,33.49
26/5/2020,2991.77,5848500000,28.01,20200526,0.14,34.7
27/5/2020,3036.13,6398000000,27.62,20200527,0.15,32.8
28/5/2020,3029.73,5447020000,28.59,20200528,0.15,33.67
29/5/2020,3044.31,7297550000,27.51,20200529,0.14,35.57
6/1/2020,3055.73,4684170000,28.23,20200601,0.14,35.49
6/2/2020,3080.82,5197150000,26.84,20200602,0.15,36.88
6/3/2020,3122.87,6005560000,25.66,20200603,0.16,37.33
6/4/2020,3112.35,6451290000,25.81,20200604,0.15,37.42
6/5/2020,3193.93,8639300000,24.52,20200605,0.15,39.49
6/8/2020,3232.39,8498300000,25.81,20200608,0.17,38.17
6/9/2020,3207.18,6410930000,27.57,20200609,0.19,38.98
6/10/2020,3190.14,6598870000,27.57,20200610,0.17,39.54
6/11/2020,3002.1,7037320000,40.79,20200611,0.17,36.43
6/12/2020,3041.31,5845330000,36.09,20200612,0.16,36.24
15/6/2020,3066.59,5757480000,34.4,20200615,0.18,37.07
16/6/2020,3124.74,5845810000,33.67,20200616,0.17,38.26
17/6/2020,3113.49,4560450000,33.47,20200617,0.17,37.91
18/6/2020,3115.34,4448690000,32.94,20200618,0.16,38.79
19/6/2020,3097.74,8346650000,35.12,20200619,0.15,39.72
22/6/2020,3117.86,4686690000,31.77,20200622,0.16,40.6
23/6/2020,3131.29,4711850000,31.37,20200623,0.16,40.4
24/6/2020,3050.33,5597680000,33.84,20200624,0.15,37.91
25/6/2020,3083.76,4847690000,32.22,20200625,0.16,38.66
26/6/2020,3009.05,8107850000,34.73,20200626,0.14,38.53
29/6/2020,3053.24,4473970000,31.78,20200629,0.14,39.67
30/6/2020,3100.29,4705850000,30.43,20200630,0.16,39.27
7/1/2020,3115.86,4449230000,28.62,20200701,0.14,39.88
7/2/2020,3130.01,4197720000,27.68,20200702,0.14,40.57
7/6/2020,3179.72,4759160000,27.94,20200706,0.15,40.51
7/7/2020,3145.32,4571330000,29.43,20200707,0.15,40.59
7/8/2020,3169.94,4937310000,28.08,20200708,0.15,40.91
7/9/2020,3152.05,4843650000,29.26,20200709,0.13,39.64
7/10/2020,3185.04,4524190000,27.29,20200710,0.13,40.56
13/7/2020,3155.22,4902440000,32.19,20200713,0.14,40.06
14/7/2020,3197.52,4507140000,29.52,20200714,0.15,40.3
15/7/2020,3226.56,4686830000,27.76,20200715,0.16,41.2
16/7/2020,3215.57,3972860000,28,20200716,0.11,40.74
17/7/2020,3224.73,4012850000,25.68,20200717,0.11,40.55
20/7/2020,3251.84,3979340000,24.46,20200720,0.13,40.83
21/7/2020,3257.3,4556610000,24.84,20200721,0.13,41.76
22/7/2020,3276.02,4267160000,24.32,20200722,0.13,41.88
23/7/2020,3235.66,4296760000,26.08,20200723,0.12,40.99
24/7/2020,3215.63,3689410000,25.84,20200724,0.11,41.23
27/7/2020,3239.41,3970310000,24.74,20200727,0.11,41.46
28/7/2020,3218.44,4053180000,25.44,20200728,0.11,40.89
29/7/2020,3258.44,4478200000,24.1,20200729,0.11,41.13
30/7/2020,3246.22,4264920000,24.76,20200730,0.09,39.85
31/7/2020,3271.12,5007530000,24.46,20200731,0.09,40.1
8/3/2020,3294.61,4438940000,24.28,20200803,0.1,40.83
8/4/2020,3306.51,4414380000,23.76,20200804,0.09,41.67
8/5/2020,3327.77,4535060000,22.99,20200805,0.1,42.25
8/6/2020,3349.16,4278930000,22.65,20200806,0.1,41.93
8/7/2020,3351.28,4110030000,22.21,20200807,0.1,41.16
8/10/2020,3360.47,4327920000,22.13,20200810,0.11,41.94
8/11/2020,3333.69,4880540000,24.03,20200811,0.11,41.53
8/12/2020,3380.35,3772250000,22.28,20200812,0.11,42.6
13/8/2020,3373.43,3438730000,22.13,20200813,0.1,42.26
14/8/2020,3372.85,3200060000,22.05,20200814,0.1,42.05
17/8/2020,3381.99,3460330000,21.35,20200817,0.1,42.89
18/8/2020,3389.78,3669550000,21.51,20200818,0.09,42.89
19/8/2020,3374.85,3679480000,22.54,20200819,0.11,42.91
20/8/2020,3385.51,3431040000,22.72,20200820,0.11,42.62
21/8/2020,3397.16,3505010000,22.54,20200821,0.1,42.32
24/8/2020,3431.28,3743410000,22.37,20200824,0.12,42.44
25/8/2020,3443.62,3627650000,22.03,20200825,0.11,43.17
26/8/2020,3478.73,3780530000,23.27,20200826,0.11,43.21
27/8/2020,3484.55,3955890000,24.47,20200827,0.11,42.88
28/8/2020,3508.01,3868510000,22.96,20200828,0.1,42.96
31/8/2020,3500.31,4348280000,26.41,20200831,0.11,42.61
9/1/2020,3526.65,4101490000,26.12,20200901,0.12,42.76
9/2/2020,3580.84,4295640000,26.57,20200902,0.12,42.76
9/3/2020,3455.06,4911830000,33.6,20200903,0.11,41.39
9/4/2020,3426.96,4438720000,30.75,20200904,0.11,39.69
9/8/2020,3331.84,4694330000,31.46,20200908,0.13,36.87
9/9/2020,3398.96,3932520000,28.81,20200909,0.12,38.05
9/10/2020,3339.19,4208630000,29.71,20200910,0.12,37.25
9/11/2020,3340.97,3710090000,26.87,20200911,0.11,37.33
14/9/2020,3383.54,3839580000,25.85,20200914,0.11,37.23
15/9/2020,3401.2,4057190000,25.59,20200915,0.11,38.29
16/9/2020,3385.49,4718900000,26.04,20200916,0.12,40.17
17/9/2020,3357.01,4379840000,26.46,20200917,0.09,40.99
18/9/2020,3319.47,7076400000,25.83,20200918,0.1,41.09
21/9/2020,3281.06,4836070000,27.78,20200921,0.1,39.26
22/9/2020,3315.57,3974510000,26.86,20200922,0.1,39.55
23/9/2020,3236.92,4378650000,28.58,20200923,0.11,39.92
24/9/2020,3246.59,4601920000,28.51,20200924,0.1,40.11
25/9/2020,3298.46,3803330000,26.38,20200925,0.1,40.06
28/9/2020,3351.6,3950910000,26.19,20200928,0.11,40.47
29/9/2020,3335.47,3661590000,26.27,20200929,0.09,39.03
30/9/2020,3363,4738640000,26.37,20200930,0.1,40.05
10/1/2020,3380.8,4076340000,26.7,20201001,0.09,38.51
10/2/2020,3348.42,3975180000,27.63,20201002,0.09,36.9
10/5/2020,3408.6,3692720000,27.96,20201005,0.1,39.12
10/6/2020,3360.97,4453390000,29.48,20201006,0.1,40.52
10/7/2020,3419.44,3814750000,28.06,20201007,0.1,39.82
10/8/2020,3446.83,3867640000,26.36,20201008,0.09,41.04
10/9/2020,3477.14,3944090000,25,20201009,0.1,40.44
10/12/2020,3534.22,3435760000,25.07,20201012,0.1,39.22
13/10/2020,3511.93,3611100000,26.07,20201013,0.11,40.03
