,DATE,COVID,LAG_GDPNOW,LAG_UNRATE,LAG_INDPRO,LAG_FEDFUNDS,LAG_CPI,DIR_GDPNOW,DIR_UNRATE,DIR_INDPRO,DIR_FEDFUNDS,DIR_CPI
0,2020/1/1,8.0,-0.2594259533357124,3.6,101.884,1.55,258.616,0.0,0.0,0.0,1.0,1.0
1,2020/2/1,61.0,-0.2601007221137097,3.5,101.3768,1.55,259.037,0.0,1.0,1.0,1.0,1.0
2,2020/3/1,173074.0,-2.9425483256780405,3.5,101.633,1.58,259.248,0.0,1.0,0.0,0.0,0.0
3,2020/4/1,857163.0,-3.031759308447346,4.4,97.6672,0.65,258.124,0.0,1.0,0.0,0.0,0.0
4,2020/5/1,755116.0,-3.1265487409337434,14.7,84.5979,0.05,256.092,1.0,0.0,1.0,1.0,0.0
5,2020/6/1,821191.0,2.9293691161392132,13.2,85.9732,0.05,255.868,0.0,0.0,1.0,1.0,1.0
6,2020/7/1,1884228.0,2.8459992918385524,11.0,91.5625,0.08,256.986,0.0,0.0,1.0,1.0,1.0
7,2020/8/1,1524538.0,2.7672435597253076,10.2,95.0144,0.09,258.278,0.0,0.0,1.0,1.0,1.0
8,2020/9/1,1201705.0,0.534080988671648,8.4,95.8881,0.1,259.411,0.0,0.0,0.0,0.0,1.0
9,2020/10/1,1815557.0,0.5312437169757489,7.9,95.8444,0.09,260.029,0.0,0.0,1.0,1.0,1.0
10,2020/11/1,4374916.0,0.5284364316344936,6.9,96.4292,0.09,260.286,1.0,0.0,1.0,1.0,1.0
11,2020/12/1,6170028.0,0.9355021901701788,6.7,96.8564,0.09,260.813,0.0,1.0,1.0,1.0,1.0
12,2021/1/1,6285448.0,0.9268316596945603,6.7,97.9754,0.09,262.035,0.0,0.0,1.0,1.0,1.0
13,2021/2/1,2467058.0,0.9183203757149982,6.3,98.7836,0.09,262.65,1.0,0.0,0.0,0.0,1.0
14,2021/3/1,1776581.0,1.0951105852792464,6.2,95.3744,0.08,263.638,0.0,0.0,1.0,0.0,1.0
15,2021/4/1,1832202.0,1.083247823697131,6.1,98.1351,0.07,264.914,0.0,1.0,1.0,1.0,1.0
16,2021/5/1,981676.0,1.0716393141487313,6.1,98.2886,0.07,266.67,0.0,0.0,1.0,0.0,1.0
17,2021/6/1,385721.0,0.7282038759110598,5.8,99.1508,0.06,268.444,0.0,1.0,1.0,1.0,1.0
18,2021/7/1,1373312.0,0.7229394031567971,5.9,99.5096,0.08,270.559,0.0,0.0,1.0,1.0,1.0
19,2021/8/1,4114589.0,0.7177505019617447,5.4,100.1231,0.1,271.764,1.0,0.0,1.0,0.0,1.0
20,2021/9/1,4185050.0,1.130483730934162,5.2,100.1255,0.09,272.87,0.0,0.0,0.0,0.0,1.0
21,2021/10/1,2660463.0,1.1178466563473766,4.8,99.0614,0.08,274.028,0.0,0.0,1.0,1.0,1.0
22,2021/11/1,2444998.0,1.1054889846956684,4.5,100.3045,0.08,276.522,0.0,0.0,1.0,1.0,1.0
23,2021/12/1,5449603.0,0.5357606132886827,4.2,101.1971,0.08,278.711,0.0,0.0,0.0,1.0,1.0
