Date,SnP_Close,SnP_Volume
"Dec 30, 2021","4,778.73","3,124,950,000"
"Dec 29, 2021","4,793.06","2,963,310,000"
"Dec 28, 2021","4,786.35","2,707,920,000"
"Dec 27, 2021","4,791.19","2,770,290,000"
"Dec 23, 2021","4,725.79","2,913,040,000"
"Dec 22, 2021","4,696.56","3,319,610,000"
"Dec 21, 2021","4,649.23","4,072,430,000"
"Dec 20, 2021","4,568.02","4,635,700,000"
"Dec 17, 2021","4,620.64","7,987,090,000"
"Dec 16, 2021","4,668.67","4,829,500,000"
"Dec 15, 2021","4,709.85","4,910,130,000"
"Dec 14, 2021","4,634.09","4,485,430,000"
"Dec 13, 2021","4,668.97","4,397,230,000"
"Dec 10, 2021","4,712.02","3,870,110,000"
"Dec 09, 2021","4,667.45","3,903,840,000"
"Dec 08, 2021","4,701.21","4,234,600,000"
"Dec 07, 2021","4,686.75","4,492,400,000"
"Dec 06, 2021","4,591.67","4,770,800,000"
"Dec 03, 2021","4,538.43","5,240,070,000"
"Dec 02, 2021","4,577.10","5,077,180,000"
"Dec 01, 2021","4,513.04","5,366,730,000"
"Nov 30, 2021","4,567.00","6,625,990,000"
"Nov 29, 2021","4,655.27","4,336,410,000"
"Nov 26, 2021","4,594.62","3,517,700,000"
"Nov 24, 2021","4,701.46","3,418,430,000"
"Nov 23, 2021","4,690.70","4,277,590,000"
"Nov 22, 2021","4,682.94","4,441,100,000"
"Nov 19, 2021","4,697.96","4,253,180,000"
"Nov 18, 2021","4,704.54","4,226,410,000"
"Nov 17, 2021","4,688.67","3,969,070,000"
"Nov 16, 2021","4,700.90","3,972,640,000"
"Nov 15, 2021","4,682.80","3,488,410,000"
"Nov 12, 2021","4,682.85","3,728,600,000"
"Nov 11, 2021","4,649.27","3,926,870,000"
"Nov 10, 2021","4,646.71","4,503,720,000"
"Nov 09, 2021","4,685.25","4,117,080,000"
"Nov 08, 2021","4,701.70","4,269,710,000"
"Nov 05, 2021","4,697.53","4,467,180,000"
"Nov 04, 2021","4,680.06","4,462,300,000"
"Nov 03, 2021","4,660.57","4,319,660,000"
"Nov 02, 2021","4,630.65","3,975,250,000"
"Nov 01, 2021","4,613.67","3,971,540,000"
