Date,SnP_Close,SnP_Volume,VIX,formatted_date
01-01-2020,3230.78,2894760000.00,13.78,20200101
02-01-2020,3257.85,3459930000,12.47,20200102
03-01-2020,3234.85,3484700000,14.02,20200103
06-01-2020,3246.28,3702460000,13.85,20200106
07-01-2020,3237.18,3435910000,13.79,20200107
08-01-2020,3253.05,3726840000,13.45,20200108
09-01-2020,3274.7,3641230000,12.54,20200109
10-01-2020,3265.35,3214580000,12.56,20200110
13-01-2020,3288.13,3459390000,12.32,20200113
14-01-2020,3283.15,3687620000,12.39,20200114
15-01-2020,3289.29,3721490000,12.42,20200115
16-01-2020,3316.81,3540580000,12.32,20200116
17-01-2020,3329.62,3726220000,12.1,20200117
21-01-2020,3320.79,4104840000,12.85,20200121
22-01-2020,3321.75,3623780000,12.91,20200122
23-01-2020,3325.54,3766710000,12.98,20200123
24-01-2020,3295.47,3708780000,14.56,20200124
27-01-2020,3243.63,3831050000,18.23,20200127
28-01-2020,3276.24,3531570000,16.28,20200128
29-01-2020,3273.4,3600250000,16.39,20200129
30-01-2020,3283.66,3790350000,15.49,20200130
31-01-2020,3225.52,4529700000,18.84,20200131
02-03-2020,3248.92,3760460000,17.97,20200203
02-04-2020,3297.59,3996900000,16.05,20200204
02-05-2020,3334.69,4121480000,15.15,20200205
02-06-2020,3345.78,3887250000,14.96,20200206
02-07-2020,3327.71,3733920000,15.47,20200207
02-10-2020,3352.09,3462730000,15.04,20200210
02-11-2020,3357.75,3762940000,15.18,20200211
02-12-2020,3379.45,3930910000,13.74,20200212
13-2-2020,3373.94,3500890000,14.15,20200213
14-2-2020,3380.16,3419700000,13.68,20200214
18-2-2020,3370.29,3750400000,14.83,20200218
19-2-2020,3386.15,3614200000,14.38,20200219
20-2-2020,3373.23,4019180000,15.56,20200220
21-2-2020,3337.75,3908780000,17.08,20200221
24-2-2020,3225.89,4851160000,25.03,20200224
25-2-2020,3128.21,5596760000,27.85,20200225
26-2-2020,3116.39,5484650000,27.56,20200226
27-2-2020,2978.76,7064710000,39.16,20200227
28-2-2020,2954.22,8569570000,40.11,20200228
03-02-2020,3090.23,6381330000,33.42,20200302
03-03-2020,3003.37,6376510000,36.82,20200303
03-04-2020,3130.12,5073020000,31.99,20200304
03-05-2020,3023.94,5579290000,39.62,20200305
03-06-2020,2972.37,6555240000,41.94,20200306
03-09-2020,2746.56,8441290000,54.46,20200309
03-10-2020,2882.23,7642040000,47.3,20200310
03-11-2020,2741.38,7431200000,53.9,20200311
03-12-2020,2480.64,8850810000,75.47,20200312
13-3-2020,2711.02,8299070000,57.83,20200313
16-3-2020,2386.13,7805450000,82.69,20200316
17-3-2020,2529.19,8370250000,75.91,20200317
18-3-2020,2398.1,8799300000,76.45,20200318
19-3-2020,2409.39,7956100000,72,20200319
20-3-2020,2304.92,9053950000,66.04,20200320
23-3-2020,2237.4,7411380000,61.59,20200323
24-3-2020,2447.33,7563150000,61.67,20200324
25-3-2020,2475.56,8300010000,63.95,20200325
26-3-2020,2630.07,7766990000,61,20200326
27-3-2020,2541.47,6201670000,65.54,20200327
30-3-2020,2626.65,5751120000,57.08,20200330
31-3-2020,2584.59,6576210000,53.54,20200331
04-01-2020,2470.5,5964000000,57.06,20200401
04-02-2020,2526.9,6464190000,50.91,20200402
04-03-2020,2488.65,6096970000,46.8,20200403
04-06-2020,2663.68,6403840000,45.24,20200406
04-07-2020,2659.41,7050410000,46.7,20200407
04-08-2020,2749.98,5875710000,43.35,20200408
04-09-2020,2789.82,7899550000,41.67,20200409
13-4-2020,2761.63,5319530000,41.17,20200413
14-4-2020,2846.06,5615730000,37.76,20200414
15-4-2020,2783.36,5208000000,40.84,20200415
16-4-2020,2799.55,5228810000,40.11,20200416
17-4-2020,2874.56,5804810000,38.15,20200417
20-4-2020,2823.16,5228630000,43.83,20200420
21-4-2020,2736.56,5121010000,45.41,20200421
22-4-2020,2799.31,5084920000,41.98,20200422
23-4-2020,2797.8,5773530000,41.38,20200423
24-4-2020,2836.74,5382810000,35.93,20200424
27-4-2020,2878.48,5203930000,33.29,20200427
28-4-2020,2863.39,5691160000,33.57,20200428
29-4-2020,2939.51,6645640000,31.23,20200429
30-4-2020,2912.43,6544980000,34.15,20200430
05-01-2020,2830.71,4759810000,37.19,20200501
05-04-2020,2842.74,4735930000,35.97,20200504
05-05-2020,2868.44,5140290000,33.61,20200505
05-06-2020,2848.42,4892570000,34.12,20200506
05-07-2020,2881.19,5178790000,31.44,20200507
05-08-2020,2929.8,4876030000,27.98,20200508
05-11-2020,2930.19,4819730000,27.57,20200511
05-12-2020,2870.12,5119630000,33.04,20200512
13-5-2020,2820,6151650000,35.28,20200513
14-5-2020,2852.5,5651130000,32.61,20200514
15-5-2020,2863.7,5507700000,31.89,20200515
18-5-2020,2953.91,6373670000,29.3,20200518
19-5-2020,2922.94,4984330000,30.53,20200519
20-5-2020,2971.61,5005380000,27.99,20200520
21-5-2020,2948.51,4976620000,29.53,20200521
22-5-2020,2955.45,3970860000,28.16,20200522
26-5-2020,2991.77,5848500000,28.01,20200526
27-5-2020,3036.13,6398000000,27.62,20200527
28-5-2020,3029.73,5447020000,28.59,20200528
29-5-2020,3044.31,7297550000,27.51,20200529
06-01-2020,3055.73,4684170000,28.23,20200601
06-02-2020,3080.82,5197150000,26.84,20200602
06-03-2020,3122.87,6005560000,25.66,20200603
06-04-2020,3112.35,6451290000,25.81,20200604
06-05-2020,3193.93,8639300000,24.52,20200605
06-08-2020,3232.39,8498300000,25.81,20200608
06-09-2020,3207.18,6410930000,27.57,20200609
06-10-2020,3190.14,6598870000,27.57,20200610
06-11-2020,3002.1,7037320000,40.79,20200611
06-12-2020,3041.31,5845330000,36.09,20200612
15-6-2020,3066.59,5757480000,34.4,20200615
16-6-2020,3124.74,5845810000,33.67,20200616
17-6-2020,3113.49,4560450000,33.47,20200617
18-6-2020,3115.34,4448690000,32.94,20200618
19-6-2020,3097.74,8346650000,35.12,20200619
22-6-2020,3117.86,4686690000,31.77,20200622
23-6-2020,3131.29,4711850000,31.37,20200623
24-6-2020,3050.33,5597680000,33.84,20200624
25-6-2020,3083.76,4847690000,32.22,20200625
26-6-2020,3009.05,8107850000,34.73,20200626
29-6-2020,3053.24,4473970000,31.78,20200629
30-6-2020,3100.29,4705850000,30.43,20200630
07-01-2020,3115.86,4449230000,28.62,20200701
07-02-2020,3130.01,4197720000,27.68,20200702
07-06-2020,3179.72,4759160000,27.94,20200706
07-07-2020,3145.32,4571330000,29.43,20200707
07-08-2020,3169.94,4937310000,28.08,20200708
07-09-2020,3152.05,4843650000,29.26,20200709
07-10-2020,3185.04,4524190000,27.29,20200710
13-7-2020,3155.22,4902440000,32.19,20200713
14-7-2020,3197.52,4507140000,29.52,20200714
15-7-2020,3226.56,4686830000,27.76,20200715
16-7-2020,3215.57,3972860000,28,20200716
17-7-2020,3224.73,4012850000,25.68,20200717
20-7-2020,3251.84,3979340000,24.46,20200720
21-7-2020,3257.3,4556610000,24.84,20200721
22-7-2020,3276.02,4267160000,24.32,20200722
23-7-2020,3235.66,4296760000,26.08,20200723
24-7-2020,3215.63,3689410000,25.84,20200724
27-7-2020,3239.41,3970310000,24.74,20200727
28-7-2020,3218.44,4053180000,25.44,20200728
29-7-2020,3258.44,4478200000,24.1,20200729
30-7-2020,3246.22,4264920000,24.76,20200730
31-7-2020,3271.12,5007530000,24.46,20200731
08-03-2020,3294.61,4438940000,24.28,20200803
08-04-2020,3306.51,4414380000,23.76,20200804
08-05-2020,3327.77,4535060000,22.99,20200805
08-06-2020,3349.16,4278930000,22.65,20200806
08-07-2020,3351.28,4110030000,22.21,20200807
08-10-2020,3360.47,4327920000,22.13,20200810
08-11-2020,3333.69,4880540000,24.03,20200811
08-12-2020,3380.35,3772250000,22.28,20200812
13-8-2020,3373.43,3438730000,22.13,20200813
14-8-2020,3372.85,3200060000,22.05,20200814
17-8-2020,3381.99,3460330000,21.35,20200817
18-8-2020,3389.78,3669550000,21.51,20200818
19-8-2020,3374.85,3679480000,22.54,20200819
20-8-2020,3385.51,3431040000,22.72,20200820
21-8-2020,3397.16,3505010000,22.54,20200821
24-8-2020,3431.28,3743410000,22.37,20200824
25-8-2020,3443.62,3627650000,22.03,20200825
26-8-2020,3478.73,3780530000,23.27,20200826
27-8-2020,3484.55,3955890000,24.47,20200827
28-8-2020,3508.01,3868510000,22.96,20200828
31-8-2020,3500.31,4348280000,26.41,20200831
09-01-2020,3526.65,4101490000,26.12,20200901
09-02-2020,3580.84,4295640000,26.57,20200902
09-03-2020,3455.06,4911830000,33.6,20200903
09-04-2020,3426.96,4438720000,30.75,20200904
09-08-2020,3331.84,4694330000,31.46,20200908
09-09-2020,3398.96,3932520000,28.81,20200909
09-10-2020,3339.19,4208630000,29.71,20200910
09-11-2020,3340.97,3710090000,26.87,20200911
14-9-2020,3383.54,3839580000,25.85,20200914
15-9-2020,3401.2,4057190000,25.59,20200915
16-9-2020,3385.49,4718900000,26.04,20200916
17-9-2020,3357.01,4379840000,26.46,20200917
18-9-2020,3319.47,7076400000,25.83,20200918
21-9-2020,3281.06,4836070000,27.78,20200921
22-9-2020,3315.57,3974510000,26.86,20200922
23-9-2020,3236.92,4378650000,28.58,20200923
24-9-2020,3246.59,4601920000,28.51,20200924
25-9-2020,3298.46,3803330000,26.38,20200925
28-9-2020,3351.6,3950910000,26.19,20200928
29-9-2020,3335.47,3661590000,26.27,20200929
30-9-2020,3363,4738640000,26.37,20200930
10-01-2020,3380.8,4076340000,26.7,20201001
10-02-2020,3348.42,3975180000,27.63,20201002
10-05-2020,3408.6,3692720000,27.96,20201005
10-06-2020,3360.97,4453390000,29.48,20201006
10-07-2020,3419.44,3814750000,28.06,20201007
10-08-2020,3446.83,3867640000,26.36,20201008
10-09-2020,3477.14,3944090000,25,20201009
10-12-2020,3534.22,3435760000,25.07,20201012
13-10-2020,3511.93,3611100000,26.07,20201013
14-10-2020,3488.67,3858510000,26.4,20201014
15-10-2020,3483.34,3724550000,26.97,20201015
16-10-2020,3483.81,4688030000,27.41,20201016
19-10-2020,3426.92,4091080000,29.18,20201019
20-10-2020,3443.12,3917850000,29.35,20201020
21-10-2020,3435.56,4103960000,28.65,20201021
22-10-2020,3453.49,4172060000,28.11,20201022
23-10-2020,3465.39,3651600000,27.55,20201023
26-10-2020,3400.97,4002210000,32.46,20201026
27-10-2020,3390.68,3962400000,33.35,20201027
28-10-2020,3271.03,5139970000,40.28,20201028
29-10-2020,3310.11,4911860000,37.59,20201029
30-10-2020,3269.96,4843930000,38.02,20201030
11-02-2020,3310.24,4314690000,37.13,20201102
11-03-2020,3369.16,4241380000,35.55,20201103
11-04-2020,3443.44,4790400000,29.57,20201104
11-05-2020,3510.45,4858150000,27.58,20201105
11-06-2020,3509.44,4842460000,24.86,20201106
11-09-2020,3550.5,8570510000,25.75,20201109
11-10-2020,3545.53,6037470000,24.8,20201110
11-11-2020,3572.66,4635560000,23.45,20201111
11-12-2020,3537.01,4909660000,25.35,20201112
13-11-2020,3585.15,4719580000,23.1,20201113
16-11-2020,3626.91,5295510000,22.45,20201116
17-11-2020,3609.53,4812180000,22.71,20201117
18-11-2020,3567.79,5284810000,23.84,20201118
19-11-2020,3581.87,4363370000,23.11,20201119
20-11-2020,3557.54,4236370000,23.7,20201120
23-11-2020,3577.59,5057550000,22.66,20201123
24-11-2020,3635.41,6280290000,21.64,20201124
25-11-2020,3629.65,4910440000,21.25,20201125
27-11-2020,3638.35,2778390000,20.84,20201127
30-11-2020,3621.63,6308410000,20.57,20201130
12-01-2020,3662.45,5418480000,20.77,20201201
12-02-2020,3669.01,5041250000,21.17,20201202
12-03-2020,3666.72,5065340000,21.28,20201203
12-04-2020,3699.12,5099620000,20.79,20201204
12-07-2020,3691.96,4804500000,21.3,20201207
12-08-2020,3702.25,4584390000,20.68,20201208
12-09-2020,3672.82,5232800000,22.27,20201209
12-10-2020,3668.1,4658480000,22.52,20201210
12-11-2020,3663.46,4375470000,23.31,20201211
14-12-2020,3647.49,4623850000,24.72,20201214
15-12-2020,3694.62,4387080000,22.89,20201215
16-12-2020,3701.17,4067040000,22.5,20201216
17-12-2020,3722.48,4192810000,21.93,20201217
18-12-2020,3709.41,7097100000,21.57,20201218
21-12-2020,3694.92,4748580000,25.16,20201221
